Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),Gas CC Generation (MW),Power from Storage and Gas CC to Storage (MW)
1,0.0,0.0,29.50707,0.0,35544.315,15059.189999999984
2,0.0,0.0,31.0234,0.0,35544.315,15979.274999999983
3,0.0,0.0,33.44055,0.0,35544.315,16398.46199999998
4,0.0,0.0,34.26875,0.0,35544.315,16658.69599999998
5,0.0,0.0,34.48155,0.0,35544.315,16674.181999999983
6,0.0,0.0,36.64955,0.0,35544.315,16406.059999999983
7,5.8235,0.0,41.84509,0.0,35544.315,15760.577999999994
8,35.8413,0.0,47.49747,0.0,35544.315,15645.56199999999
9,50.9297,0.0,45.23943,0.0,35544.315,15868.050999999992
10,49.1623,0.0,37.75961,0.0,35544.315,16581.103999999992
11,45.7277,0.0,34.78082,0.0,35544.315,17147.343999999997
12,44.8141,0.0,34.46739,0.0,35544.315,17768.488999999987
13,47.8164,0.0,34.01043,0.0,35544.315,18214.481
14,50.9383,0.0,33.35015,0.0,35544.315,18200.432999999975
15,44.5597,0.0,35.68835,0.0,35544.315,17552.399999999994
16,15.1131,0.0,39.62132,0.0,35544.315,16539.11599999998
17,0.0,0.0,43.8021,0.0,35544.315,14392.52399999999
18,0.0,0.0,46.63408,0.0,35544.315,10881.93299999999
19,0.0,0.0,48.94753,0.0,35544.315,10253.737000000008
20,0.0,0.0,53.88113,0.0,35544.315,10310.597999999976
21,0.0,0.0,56.57863,0.0,35544.315,10343.573999999979
22,0.0,0.0,57.57194,0.0,23307.472,-1101.351999999999
23,0.0,0.0,58.1062,0.0,0.0,-22836.73100000001
24,0.0,0.0,58.60584,0.0,0.0,-21111.855000000032
